codigo_depto;codigo_provincia;departamento;municipio;codigo;anno;pob_total;formal_rate;vacancy_rate;ruralidad;t_crea;altura;areakm2;gandina;gcaribe;gpacifica;gorinoquia;gamazonia;pruralpet;pmujerpet;pdependiente;salario_bas;pregimen_subsidiado;regimen_subsidiado;promleccri;prommatema;promglobal;vab;va_actividad_primaria;va_actividad_secundaria;va_actividad_terciaria;vabpc;pprimary;psecondary;pterciary;distancia_mercado;disbogota;dismdo;pgroup1;pgroup2;pgroup3;pgroup4;pgroup5;pgroup6;num_obser_freq;num_obser_freq_adj;informales_freq;informales_freq_adj;ocupados_freq;ocupados_freq_adj;informalidad;informalidad_adj;informalidad_adj_var;fharcsin_est;Low;Up;fh_benchmark;MERF_resultados;lisa_clusters;lisa_clusters_nombres
5;595;Antioquia;Medellín;5001;2011;2213549;37.41865439;;2.097943167;336;1475.0;387;1;0;0;0;0;2.907653553;53.56018866;58.56818667;534250.0;26.26506122;581390.0;47.75242422;46.39893031;223.5514565;34442.53336;33.93699903;10272.12463;24136.47173;1.55598694;0.098532238;29.82395204;70.07751572;0.0;264.3390198;0.0;19.29595148;42.15145252;15.24192614;17.28159279;44.1379363;18.66898564;28248.0;2438581.0;6136.0;528537.0;12867.0;1137215.0;47.68788373;46.47643585;0.002152819;46.47428691;45.87532232;47.077602;35.3178222;49.71089033;2.0;LL
5;595;Antioquia;Medellín;5001;2016;2351077;51.62266414;6.269892479;1.908912384;341;1475.0;387;1;0;0;0;0;2.692005369;53.26053223;55.18194968;688071.8333;23.87382463;561292.0;54.15738917;51.58176981;263.982067;49047.76144;141.8044222;12259.65275;36646.30426;2.086182691;0.289114973;24.99533596;74.71554907;0.0;264.3390198;0.0;19.04174981;42.95483853;16.9791907;16.77840715;43.65703564;21.52728399;27381.0;30900000.0;5302.0;497804.0;13420.0;1270162.0;39.5082;39.19217;0.00176725;39.18820895;38.61919998;39.7368142;30.3197533;43.15084066;2.0;LL
5;595;Antioquia;Medellín;5001;2021;2549008;53.81969182;10.11679838;1.661509105;346;1475.0;387;1;0;0;0;0;2.353253337;53.15467348;53.84156739;923531.6667;26.01623847;663156.0;53.83400345;49.80200577;250.3500519;66432.27775;118.6503732;13326.30262;52987.32475;2.606201226;0.1786035;20.05998149;79.76141501;0.0;264.3390198;0.0;17.15745573;44.50617839;19.08345497;15.06885169;43.76086234;24.60880732;25697.0;32600000.0;4833.0;5843226.0;11990.0;14460403.0;40.30859;40.40846;0.002201843;40.39747771;39.78624553;40.9682319;40.3358218;41.92754479;2.0;LL
5;562;Antioquia;Abejorral;5002;2011;21619;14.79447091;;65.86336093;197;2275.0;497;1;0;0;0;0;72.45326564;40.13847219;80.54766587;534116.6667;68.89772885;14895.0;47.66300613;46.37226994;224.3374233;127.1750111;26.65071054;13.29400275;87.23029779;0.588255752;20.95593334;10.45331362;68.59075305;16.08308411;209.0054474;58.20087433;16.31665449;37.22607743;19.27501826;15.67451017;38.72691478;19.12440236;349.0;62051.0;120.0;21684.0;129.0;23279.0;93.02325581;93.14833111;0.050100288;92.479869;89.80156609;94.8933159;70.2794553;87.05307688;4.0;HL
5;562;Antioquia;Abejorral;5002;2016;20534;11.18957177;0.16557904;63.29015292;202;2275.0;497;1;0;0;0;0;69.51432482;39.41095955;70.86107412;685696.2917;63.47521184;13034.0;53.29936306;49.96178344;258.8980892;202.3116906;68.42852934;17.59015458;116.2930067;0.985252219;33.82331942;8.694581382;57.48209919;16.08308411;209.0054474;58.20087433;16.66980245;38.23142051;22.57761054;15.26655897;38.5904685;23.22294023;284.0;730208.0;114.0;41478.0;122.0;44423.0;93.44262;93.37055;0.062200846;92.11615631;88.79242668;94.9873014;71.2698848;84.76996914;4.0;HL
5;562;Antioquia;Abejorral;5002;2021;20924;16.52886637;0.200726439;59.3815714;207;2275.0;497;1;0;0;0;0;66.04580574;39.46835909;69.12970894;905965.75;57.68495508;12070.0;51.7702713;48.83333206;241.2973022;314.197629;142.7544582;20.02273525;151.4204355;1.501613597;45.43460708;6.372656379;48.19273654;16.08308411;209.0054474;58.20087433;15.02524094;38.97200551;25.56218449;13.61052946;38.4784126;27.21108785;278.0;836007.0;85.0;233871.0;114.0;404607.0;74.5614;57.80201;0.322271488;59.07702986;53.57493483;64.4982071;58.9868646;62.13462941;2.0;LL
5;560;Antioquia;Abriaquí;5004;2011;2672;4.572105788;;72.64221557;99;1900.0;293;1;0;0;0;0;78.38936092;37.75397119;80.9299588;659513.4167;54.97754491;1469.0;42.25;39.66666667;201.1666667;17.54916768;4.412122743;2.217841332;10.9192036;0.656780227;25.14149288;12.63787191;62.22063521;49.62902832;326.9407959;63.85463333;17.60916249;37.58052971;17.68074445;16.0;38.90196078;16.78431373;;;;;;;;;;82.86349068;81.01731638;84.4481717;62.9715531;89.09102754;0.0;
5;560;Antioquia;Abriaquí;5004;2016;2629;9.10041841;0.190186383;70.21681248;104;1900.0;293;1;0;0;0;0;76.94556083;36.90171721;76.10099824;685780.4167;51.84480791;1363.0;51.42857143;48.0;245.3214286;20.17169688;4.228660775;1.815663081;14.12737303;0.767276412;20.96333689;9.001042853;70.03562025;49.62902832;326.9407959;63.85463333;18.3427762;36.40226629;20.4674221;15.61216105;40.50944947;19.55628595;;;;;;;;;;76.76272826;74.87152815;78.6130611;59.3910017;70.80487635;0.0;
5;560;Antioquia;Abriaquí;5004;2021;2777;18.38014644;0.720201656;67.44688513;109;1900.0;293;1;0;0;0;0;74.52667814;36.59208262;74.33333333;905965.75;49.6939143;1380.0;50.04761887;44.80952454;220.4285736;38.47549423;14.2521328;2.482270679;21.74109075;1.385505734;37.04210455;6.451562816;56.50633263;49.62902832;326.9407959;63.85463333;16.88829787;37.16755319;23.13829787;13.66849961;40.92694423;22.4666143;;;;;;;;;;70.44103856;68.22545335;72.5468224;70.3335292;70.1680749;0.0;
5;562;Antioquia;Alejandría;5021;2011;4678;3.945774548;;50.85506627;104;1750.0;151;1;0;0;0;0;56.97914279;43.54801742;84.25008541;535383.3333;59.89739205;2802.0;45.29844444;41.92355556;210.3555556;89.98267763;59.23039227;8.763835693;21.98844967;1.923528808;65.8242162;9.739469778;24.43631402;15.52927589;241.826004;61.11421585;18.36998706;35.4894351;17.20569211;16.99872827;37.85502331;18.18567189;;;;;;;;;;81.60732226;79.42109272;83.2099692;62.0169364;84.25565381;0.0;
