codigo,informalidad_2005
5001,54.69028091430664
5002,95.49799346923828
5004,92.18968200683594
5021,86.5293197631836
5030,79.80619812011719
5031,95.32403564453125
5034,93.00364685058594
5036,87.56194305419922
5038,95.82331848144531
5040,94.1284408569336
5042,90.89641571044922
5044,93.8741683959961
5045,65.4000015258789
5051,94.48685455322266
5055,94.95841979980469
5059,90.71549987792969
5079,76.54164123535156
5086,92.95550537109375
5088,47.88667297363281
5091,93.38555145263672
5093,96.24073791503906
5101,90.98060607910156
5107,96.64610290527344
5113,96.26582336425781
5120,96.64704895019531
5125,96.3971176147461
5129,47.29621124267578
5134,97.10144805908203
5138,94.3111572265625
5142,90.64539337158203
5145,88.40840911865234
5147,68.50106048583984
5148,59.2187614440918
5150,66.66666412353516
5154,94.08174133300781
5172,73.49254608154297
5190,89.41474151611328
5197,93.04478454589844
5206,90.53084564208984
5209,96.56224060058594
5212,54.5867919921875
5234,95.0386734008789
5237,89.8041763305664
5240,92.29798126220703
5250,94.86861419677734
5264,84.6020736694336
5266,42.07215881347656
5282,88.42301177978516
5284,92.56165313720703
5306,96.78782653808594
5308,50.150482177734375
5310,87.24295806884766
5313,91.4911880493164
5315,81.26520538330078
5318,66.42742919921875
5321,68.3874740600586
5347,93.34049224853516
5353,83.4246597290039
5360,51.14900588989258
5361,94.89981842041016
5364,90.83604431152344
5368,86.53749084472656
5376,48.68770980834961
5380,46.606014251708984
5390,76.14722442626953
5400,84.6507797241211
5411,93.56257629394531
5425,89.66620635986328
5440,62.35792541503906
5467,92.52948760986328
5475,93.56499481201172
5480,90.81475830078125
5483,95.48339080810547
5490,95.27884674072266
5495,97.2769546508789
5501,97.35099029541016
5541,86.17903900146484
5543,95.99623107910156
5576,92.59107971191406
5579,81.15788269042969
5585,81.33265686035156
5591,90.2597427368164
5604,96.05326843261719
5607,61.60728454589844
5615,51.89122772216797
5628,93.83524322509766
5631,41.719139099121094
5642,94.58136749267578
5647,90.1976318359375
5649,91.4194564819336
5652,95.07361602783203
5656,85.96160125732422
5658,93.45301055908203
5659,95.5523681640625
5660,89.28019714355469
5664,80.35530853271484
5665,96.3208999633789
5667,85.99176025390625
5670,94.06074523925781
5674,91.4702377319336
5679,87.65841674804688
5686,80.73931884765625
5690,94.10526275634766
5697,85.57109069824219
5736,93.63163757324219
5756,93.10218811035156
5761,95.12705993652344
5789,91.64556884765625
5790,98.55396270751953
5792,93.48534393310547
5809,78.64546966552734
5819,92.81591033935547
5837,86.44271087646484
5842,96.23128509521484
5847,90.5117416381836
5854,98.36617279052734
5856,87.16486358642578
5858,93.85655212402344
5861,82.21111297607422
5873,94.23076629638672
5885,91.49818420410156
5887,84.77454376220703
5890,93.22413635253906
5893,93.47826385498047
5895,94.72539520263672
8001,75.84880065917969
8078,83.48178100585938
8137,95.60839080810547
8141,93.78378295898438
8296,61.699893951416016
8372,95.1592788696289
8421,95.47808837890625
8433,83.7357177734375
8436,89.13294982910156
8520,76.88346099853516
8549,94.74474334716797
8558,92.18362426757812
8560,98.4261474609375
8573,79.4228515625
8606,95.16685485839844
8634,83.27951049804688
8638,90.9942398071289
8675,95.53641510009766
8685,69.67508697509766
8758,74.2071304321289
8770,92.85083770751953
8832,84.17696380615234
8849,86.62508392333984
11001,58.530818939208984
13001,76.90760803222656
13006,97.66490173339844
13030,96.25984191894531
13042,95.92760467529297
13052,95.32461547851562
13062,94.40789794921875
13074,95.7345962524414
13140,96.91722869873047
13160,97.41084289550781
13188,97.6080551147461
13212,96.89655303955078
13222,97.6217041015625
13244,95.89244079589844
13248,99.08454132080078
13268,98.1408462524414
13300,97.14452362060547
13430,91.62129974365234
13433,97.13064575195312
13440,99.01960754394531
13442,98.95018005371094
13458,99.37336730957031
13468,90.45745086669922
13473,96.51092529296875
13549,97.70331573486328
13580,97.52155303955078
13600,98.28279113769531
13620,94.79166412353516
13647,92.12400817871094
13650,92.66365814208984
13654,96.34489440917969
13655,98.27734375
13657,99.13660430908203
13667,95.4438705444336
13670,96.82345581054688
13673,91.9588394165039
13683,97.83248901367188
13688,97.4337387084961
13744,95.11102294921875
13760,87.46769714355469
13780,97.98969268798828
13810,98.51209259033203
13836,78.35624694824219
13838,91.31985473632812
13873,98.80519104003906
13894,87.92024993896484
15001,64.3971939086914
15022,90.06085205078125
15047,97.7401123046875
15051,95.3040771484375
15087,88.4289779663086
15090,91.75946807861328
15092,93.78238677978516
15097,88.54962158203125
15104,95.87513732910156
15106,97.05535888671875
15109,97.26214599609375
15114,88.9570541381836
15131,95.46632385253906
15135,93.59205627441406
15162,87.45928192138672
15172,92.86453247070312
15176,80.72432708740234
15180,92.991455078125
15183,96.5744400024414
15185,95.52684020996094
15187,94.95091247558594
15189,93.44380187988281
15204,89.95189666748047
15212,93.92446899414062
15215,78.1294937133789
15218,94.25675964355469
15223,90.54680633544922
15224,95.71167755126953
15226,94.08451080322266
15232,99.27726745605469
15236,93.3579330444336
15238,74.74322509765625
15244,90.15852355957031
15248,90.30303192138672
15272,84.62523651123047
15276,89.6607437133789
15293,92.44287872314453
15296,95.60546875
15299,86.38124084472656
15317,87.12574768066406
15322,82.92271423339844
15325,94.27027130126953
15332,85.17350006103516
15362,87.22689056396484
15367,94.89993286132812
15368,98.26275634765625
15377,96.76258850097656
15380,94.61186981201172
15401,90.22346496582031
15403,83.19184875488281
15407,83.00370788574219
15425,91.474853515625
15442,99.21907043457031
15455,90.69873046875
15464,90.41204071044922
15466,85.63876342773438
15469,88.57524871826172
15476,96.46762084960938
15480,96.31816864013672
15491,62.71696472167969
15494,96.24776458740234
