codigo,anno,MERF_resultados_repro
5001,2011,49.23259120646529
5002,2011,87.24203621808567
5031,2011,87.97903742279253
5034,2011,89.35383862288596
5045,2011,64.32904435158196
5079,2011,69.62408415697496
5088,2011,49.7532141695353
5093,2011,90.76902147669726
5129,2011,42.50973934460736
5142,2011,91.57029958961623
5154,2011,82.76178789454124
5172,2011,70.67389359257591
5212,2011,47.82993271825569
5266,2011,40.831490084690266
5282,2011,76.34581331460005
5308,2011,52.00848510393031
5318,2011,60.05862181927678
5360,2011,43.52434057141299
5361,2011,88.12536751375293
5380,2011,46.07001931022398
5411,2011,92.61278015398635
5425,2011,92.31897878087246
5440,2011,65.81716683778744
5467,2011,86.29852647470096
5480,2011,83.8031873175774
5579,2011,74.22451422963674
5591,2011,75.71289547709002
5604,2011,82.76476129541864
5607,2011,63.54172853621133
5615,2011,44.87919282253972
5631,2011,39.58521652729495
5647,2011,84.96664723677294
5679,2011,75.27356819520472
5790,2011,87.995150272125
5809,2011,62.839201009527365
5837,2011,79.31577995555136
5847,2011,88.27931410200533
5887,2011,71.59542471139984
5893,2011,79.57561872739154
5895,2011,89.82534530713603
8001,2011,68.21287032082024
8078,2011,84.22205560492328
8421,2011,86.16416802072608
8433,2011,73.11745546541766
8549,2011,90.26456776444431
8558,2011,81.82432971916027
8573,2011,73.60499232081062
8634,2011,79.74979363849316
8638,2011,83.25502645475603
8758,2011,68.0781190547426
8849,2011,85.3798507711143
11001,2011,52.565576296758934
13001,2011,66.76570067967252
13042,2011,94.83559950339095
13052,2011,86.50162156152595
13160,2011,85.22482467460695
13212,2011,93.6486046732981
13244,2011,92.34188961109662
13430,2011,88.23141340886907
13433,2011,93.77511031764952
13442,2011,91.58457664884217
13473,2011,90.74913791095373
13600,2011,92.05099748178691
13670,2011,92.0737303811792
13688,2011,90.05739394500415
13780,2011,93.51392564820624
13836,2011,72.39163707603565
13838,2011,76.74834767910684
13873,2011,91.54749332326487
15001,2011,58.06087701960641
15087,2011,79.86397735911838
15090,2011,89.73673285417412
15092,2011,71.18358420106924
15106,2011,91.76538892514817
15162,2011,87.20566430584148
15176,2011,79.42774635033712
15185,2011,90.19050832126923
15187,2011,86.80588302790937
15204,2011,85.81056473344778
15238,2011,66.97879486161168
15244,2011,87.46041599774192
15272,2011,77.24733345356925
15332,2011,88.98926085672316
