codigo,anno,fharcsin_est_repro,Low_repro,Up_repro,gamma,sampled
5001,2011,46.47640074355891,23.26628832372169,69.68651316339614,0.9999925262953907,TRUE
5002,2011,93.14517374110545,75.69430230653542,100,0.9997063702638117,TRUE
5004,2011,81.06701773412185,79.85936621073674,82.27466925750696,0,FALSE
5021,2011,83.3295183274234,82.21014822203966,84.44888843280714,0,FALSE
5030,2011,70.4232634709052,68.76398634888227,72.08254059292813,0,FALSE
5031,2011,90.02699572249415,72.61346360861573,100,0.9997812506484793,TRUE
5034,2011,93.06944779363849,76.29546439324542,100,0.9997781512285426,TRUE
5036,2011,82.00667070168488,81.01309765296523,83.00024375040454,0,FALSE
5038,2011,88.28067794483539,86.95489437352225,89.60646151614853,0,FALSE
5040,2011,87.8763949973797,87.03512808215764,88.71766191260177,0,FALSE
5042,2011,79.61134537380194,78.14480608118934,81.07788466641453,0,FALSE
5044,2011,90.2268916253037,89.47468419225346,90.97909905835392,0,FALSE
5045,2011,56.66360606993403,35.30145893053063,78.02575320933744,0.9998991698752067,TRUE
5051,2011,91.01479942944111,90.30123781374573,91.7283610451365,0,FALSE
5055,2011,90.69370291157585,89.97860977758627,91.40879604556544,0,FALSE
5059,2011,82.20593211263567,80.94710397929241,83.46476024597892,0,FALSE
5079,2011,69.71264362877976,49.98144343452147,89.44384382303804,0.999040882322162,TRUE
5086,2011,83.76083678993047,82.69580662875312,84.82586695110781,0,FALSE
5088,2011,46.10444615704586,23.484744750139715,68.724147563952,0.9999539547365843,TRUE
5091,2011,87.32881143454236,86.45340814798018,88.20421472110453,0,FALSE
5093,2011,92.99159201620033,79.12916960117194,100,0.9997661081907725,TRUE
5101,2011,85.1977457966844,84.33593268384018,86.05955890952862,0,FALSE
5107,2011,90.63821000013874,89.91400721095644,91.36241278932104,0,FALSE
5113,2011,83.74046098396892,82.5906926216994,84.89022934623843,0,FALSE
5120,2011,95.34851532791883,94.53228479542419,96.16474586041348,0,FALSE
5125,2011,91.11409576626781,90.39827969933431,91.82991183320131,0,FALSE
5129,2011,35.77983395914654,14.203523197639282,57.3561447206538,0.99967305952842,TRUE
5134,2011,86.29665807927933,85.28541873321,87.30789742534866,0,FALSE
5138,2011,90.13554965024304,89.26333693138115,91.00776236910492,0,FALSE
5142,2011,96.2304893026643,80.19900661874482,100,0.9989801264453436,TRUE
5145,2011,85.50268194812365,84.6894962986928,86.3158675975545,0,FALSE
5147,2011,82.28906251727669,81.11671296117824,83.46141207337514,0,FALSE
5148,2011,69.7879779052593,67.29323049026155,72.28272532025704,0,FALSE
5150,2011,78.27394733261917,76.91115667645525,79.6367379887831,0,FALSE
5154,2011,83.84512051050027,68.67830637519883,99.0119346458017,0.9997112228230908,TRUE
5172,2011,62.56756742087447,46.787728877992805,78.34740596375613,0.9998432377586522,TRUE
5190,2011,83.78961761213858,82.94428745151893,84.63494777275824,0,FALSE
5197,2011,80.84337910998626,79.17603043590483,82.51072778406768,0,FALSE
5206,2011,83.01677042287763,81.98371029741364,84.04983054834162,0,FALSE
5209,2011,85.35810930653946,84.53464718041015,86.18157143266878,0,FALSE
5212,2011,47.301215594313184,25.51508690958501,69.08734427904136,0.9997012000503277,TRUE
5234,2011,89.5845291000337,88.82549816813302,90.34356003193439,0,FALSE
5237,2011,62.31521043047267,59.38491154954753,65.24550931139781,0,FALSE
5240,2011,85.45239245709155,84.51110450823812,86.39368040594498,0,FALSE
5250,2011,90.50131445859981,89.56926891047945,91.43336000672016,0,FALSE
5264,2011,57.23164611449643,54.54874453476415,59.91454769422871,0,FALSE
5266,2011,35.223111650302776,12.23478762955483,58.21143567105072,0.9998910924861135,TRUE
