"Variable","Importance","type"
"PILA rate",1.7495586008497,"Socioeconomic"
"Tertiary sector AV",0.750792551518453,"Socioeconomic"
"Secondary sector AV",0.67321102217641,"Socioeconomic"
"Base salary",0.531409855107225,"Socioeconomic"
"Virtual vacancies rate",0.494673310809536,"Socioeconomic"
"Percentage of women aged 15 to 24",0.439185602863311,"Demographic"
"Women WAP proportion",0.437923457325736,"Socioeconomic"
"Percentage of men aged 15 to 24",0.404773844168473,"Demographic"
"Rurality",0.403229221761908,"Demographic"
"Percentage of women aged over 54",0.395605338107158,"Demographic"
"Percentage of men aged over 54",0.390285633130546,"Demographic"
"Area km2",0.365275844271689,"Geographic"
"Distance to main market",0.362777380425763,"Geographic"
"Altitud",0.33929794370328,"Geographic"
"Subsidized regime proportion",0.300033145003378,"Socioeconomic"
"Percentage of women aged 24 to 54",0.280921025780703,"Demographic"
"Secondary sector AV proportion",0.269064666765417,"Socioeconomic"
"Primary sector AV",0.242221242616193,"Socioeconomic"
"Coca crops",0.179474579402006,"Socioeconomic"
"Distance to market",0.178986452174241,"Geographic"
"Percentage of men aged 24 to 54",0.171598385378704,"Demographic"
"Distance to Bogota",0.149812919114051,"Geographic"
"Tertiary sector AV proportion",0.146985106798874,"Socioeconomic"
"Years since creation",0.143948045722888,"Geographic"
"Primary sector AV proportion",0.133101756026527,"Socioeconomic"
"Pacific Region",0.0898405456934102,"Geographic"
"Andean Region",0.0795547223506943,"Geographic"
"Amazon Region",0.0066811858086675,"Geographic"
"Orinoquia Region",0.00558900646806881,"Geographic"
"Caribbean Region",0.00401255740900908,"Geographic"
