"Variable","Importance","type"
"PILA rate",1.20583942119381,"Socioeconomic"
"Women WAP proportion",0.759370887407926,"Socioeconomic"
"Secondary sector AV",0.719201492843771,"Socioeconomic"
"Tertiary sector AV",0.450127757947166,"Socioeconomic"
"Primary sector AV",0.391211692467054,"Socioeconomic"
"Distance to market",0.365998679703269,"Geographic"
"Rurality",0.337292465815414,"Demographic"
"Subsidized regime proportion",0.317265510380778,"Socioeconomic"
"Tertiary sector AV proportion",0.282301347601576,"Socioeconomic"
"Primary sector AV proportion",0.267792780788168,"Socioeconomic"
"Area km2",0.262805409591859,"Geographic"
"Secondary sector AV proportion",0.261103011243164,"Socioeconomic"
"Coca crops",0.25044033079724,"Socioeconomic"
"Distance to main market",0.20806676571513,"Geographic"
"Distance to Bogota",0.19832669736798,"Geographic"
"Percentage of men aged 15 to 24",0.197260762229306,"Demographic"
"Base salary",0.173751821231499,"Socioeconomic"
"Altitud",0.159274082342026,"Geographic"
"Percentage of women aged 15 to 24",0.128986641566724,"Demographic"
"Percentage of men aged over 54",0.115599297652137,"Demographic"
"Years since creation",0.107552995086944,"Geographic"
"Percentage of women aged over 54",0.100941279614786,"Demographic"
"Percentage of women aged 24 to 54",0.0962566957036088,"Demographic"
"Percentage of men aged 24 to 54",0.0962266404709697,"Demographic"
"Andean Region",0.0840356102024868,"Geographic"
"Pacific Region",0.00746158445126133,"Geographic"
"Caribbean Region",0.00698983806960696,"Geographic"
"Orinoquia Region",0.0027904337190332,"Geographic"
"Amazon Region",0.00271112908270643,"Geographic"
