codigo,anno,coca_ha
91263,2011,35.0
91405,2011,36.0
91407,2011,0.0
91430,2011,0.0
91460,2011,0.0
91530,2011,44.0
91536,2011,0.0
91669,2011,7.0
5031,2011,29.0
5040,2011,208.0
5045,2011,0.0
5055,2011,42.0
5107,2011,38.0
5120,2011,453.0
5134,2011,0.0
5142,2011,2.0
5147,2011,0.0
5148,2011,0.0
5154,2011,0.0
5172,2011,1.0
5197,2011,1.0
5234,2011,2.0
5250,2011,317.0
5284,2011,0.0
5310,2011,0.0
5361,2011,82.0
5425,2011,0.0
5475,2011,3.0
5480,2011,0.0
5483,2011,66.0
5495,2011,210.0
5490,2011,0.0
5579,2011,3.0
5585,2011,22.0
5591,2011,0.0
5604,2011,86.0
5628,2011,0.0
5649,2011,44.0
5652,2011,129.0
5660,2011,114.0
5665,2011,0.0
5667,2011,0.0
5670,2011,0.0
5686,2011,0.0
5736,2011,202.0
5756,2011,44.0
5790,2011,635.0
5819,2011,0.0
5837,2011,0.0
5842,2011,0.0
5847,2011,32.0
5854,2011,199.0
5858,2011,7.0
5873,2011,13.0
5885,2011,0.0
5887,2011,3.0
5890,2011,0.0
5893,2011,69.0
5895,2011,49.0
81065,2011,42.0
81300,2011,24.0
81591,2011,2.0
81736,2011,15.0
81794,2011,50.0
13006,2011,5.0
13030,2011,16.0
13042,2011,57.0
13074,2011,16.0
13160,2011,255.0
13268,2011,0.0
13458,2011,535.0
13473,2011,55.0
13490,2011,0.0
13600,2011,66.0
13655,2011,132.0
13667,2011,17.0
13670,2011,384.0
54820,2011,0.0
13688,2011,264.0
13744,2011,131.0
13810,2011,274.0
15212,2011,0.0
15223,2011,0.0
15401,2011,0.0
15442,2011,0.0
15480,2011,0.0
15507,2011,47.0
15531,2011,0.0
15572,2011,38.0
15580,2011,1.0
15681,2011,8.0
15696,2011,0.0
15832,2011,0.0
17433,2011,0.0
17495,2011,9.0
17541,2011,7.0
17662,2011,30.0
17867,2011,0.0
18029,2011,7.0
18094,2011,193.0
18150,2011,409.0
18205,2011,69.0
18247,2011,70.0
18256,2011,112.0
18001,2011,105.0
18460,2011,290.0
18410,2011,409.0
18479,2011,1.0
18592,2011,316.0
18610,2011,304.0
18753,2011,78.0
18756,2011,842.0
18785,2011,23.0
18860,2011,99.0
19022,2011,0.0
19050,2011,200.0
19075,2011,62.0
19100,2011,16.0
19110,2011,0.0
19130,2011,0.0
19137,2011,0.0
19142,2011,0.0
19212,2011,0.0
19256,2011,1514.0
19290,2011,0.0
19318,2011,984.0
19364,2011,0.0
19392,2011,0.0
19397,2011,0.0
19418,2011,1040.0
19450,2011,420.0
19455,2011,0.0
19473,2011,32.0
19532,2011,51.0
19533,2011,253.0
19548,2011,0.0
19622,2011,0.0
19701,2011,0.0
19698,2011,0.0
19760,2011,0.0
19780,2011,0.0
19785,2011,0.0
19807,2011,0.0
19809,2011,1494.0
19821,2011,0.0
20178,2011,0.0
20310,2011,0.0
20517,2011,0.0
20710,2011,0.0
20770,2011,0.0
27006,2011,6.0
27025,2011,196.0
27050,2011,0.0
27075,2011,0.0
27077,2011,248.0
27099,2011,4.0
27150,2011,0.0
27205,2011,59.0
27135,2011,68.0
27250,2011,36.0
27361,2011,684.0
27372,2011,18.0
27413,2011,0.0
27425,2011,3.0
27430,2011,352.0
27450,2011,0.0
27491,2011,464.0
27495,2011,12.0
27001,2011,14.0
27580,2011,0.0
27600,2011,16.0
27615,2011,86.0
27660,2011,104.0
27745,2011,130.0
27787,2011,4.0
27800,2011,6.0
27810,2011,1.0
23350,2011,0.0
23466,2011,240.0
23580,2011,243.0
23682,2011,0.0
23807,2011,604.0
23855,2011,1.0
25148,2011,1.0
25518,2011,0.0
25823,2011,0.0
25885,2011,17.0
94343,2011,89.0
94001,2011,135.0
94663,2011,0.0
94888,2011,66.0
94887,2011,28.0
94884,2011,0.0
95015,2011,862.0
95025,2011,1701.0
95200,2011,2590.0
95001,2011,1686.0
44090,2011,16.0
44001,2011,0.0
47053,2011,13.0
47189,2011,3.0
47288,2011,0.0
47001,2011,30.0
50350,2011,151.0
50400,2011,0.0
50325,2011,1109.0
50330,2011,0.0
50450,2011,91.0
50568,2011,122.0
50577,2011,20.0
50573,2011,0.0
50590,2011,883.0
50683,2011,48.0
50689,2011,19.0
50370,2011,72.0
50711,2011,524.0
52036,2011,0.0
52079,2011,3193.0
52110,2011,0.0
52207,2011,0.0
52210,2011,0.0
52215,2011,0.0
52227,2011,0.0
52233,2011,194.0
52250,2011,1080.0
52254,2011,0.0
52256,2011,203.0
52260,2011,0.0
52520,2011,207.0
52356,2011,247.0
52381,2011,0.0
52385,2011,3.0
52390,2011,63.0
52405,2011,35.0
52411,2011,15.0
52418,2011,33.0
52427,2011,1563.0
52435,2011,0.0
52473,2011,222.0
52490,2011,1104.0
52540,2011,202.0
52573,2011,0.0
52612,2011,68.0
52621,2011,2058.0
52678,2011,551.0
52693,2011,0.0
52683,2011,0.0
52696,2011,587.0
52699,2011,10.0
52835,2011,5593.0
54003,2011,15.0
54109,2011,6.0
54128,2011,164.0
54206,2011,180.0
54001,2011,32.0
54245,2011,212.0
54250,2011,410.0
54261,2011,41.0
54344,2011,48.0
54385,2011,92.0
54398,2011,26.0
54418,2011,3.0
54498,2011,0.0
54670,2011,66.0
54720,2011,1125.0
54800,2011,298.0
54810,2011,772.0
86001,2011,48.0
86320,2011,1086.0
86568,2011,2735.0
86569,2011,854.0
86571,2011,1413.0
86573,2011,1696.0
86757,2011,499.0
86760,2011,0.0
86865,2011,1010.0
86885,2011,611.0
68020,2011,0.0
68092,2011,0.0
68101,2011,159.0
68176,2011,0.0
68190,2011,45.0
68209,2011,0.0
68211,2011,0.0
68235,2011,0.0
68250,2011,3.0
