stable_class,t_crea,promleccri,prommatema,promglobal,dismdo,disbogota,pdependiente,coca_ha,n
HH,124.68888888888888,48.20952644277778,46.09738260877778,226.78245511,196.94414380455555,504.9773245966667,76.80641300122223,150.17222222222222,90
HL,97.5,51.711547852500004,49.954309465,243.135063175,45.781454325,161.9618122825,80.0577558625,0,4
LH,323.25,51.56292343,49.2947835925,244.02999875,215.44807242500002,464.34583280000004,72.11388176,840.8,4
LL,218.80898876404495,52.93706366730337,50.62886527404494,250.0536826505618,44.365936440483146,179.49032496741572,63.87079339011236,0,89
NA,146.45032397408207,49.30580870572826,47.358389139315214,232.55263499347825,128.3073371267365,314.25355886669547,80.69563390325054,202.35399568034558,926
